,District,Link,Price,Rooms,Totsp,Livesp,Kitsp,floor,number of floors,MetrDist,Walk,New,Brick,Balkon,DistCenter
6001,«¿Œ,147704635,7151760.0,1.0,41.6,21.9,8.4,3.0,24.0,20.0,0.0,1.0,0.0,1.0,14.028672305491785
6002,«¿Œ,49075081,7189600.0,1.0,41.8,0.0,0.0,3.0,23.0,4.0,0.0,1.0,0.0,0.0,14.04506726608133
6003,«¿Œ,148789159,7195040.0,1.0,23.3,13.2,3.4,11.0,26.0,5.0,1.0,1.0,1.0,0.0,12.46887957801759
6004,«¿Œ,147728610,7200000.0,1.0,35.0,16.2,9.5,17.0,17.0,3.0,1.0,0.0,0.0,0.0,12.72560912585805
6005,«¿Œ,51634644,7200000.0,2.0,36.0,24.0,6.0,2.0,12.0,13.0,1.0,0.0,0.0,0.0,6.597012472965022
6006,«¿Œ,151032646,7200000.0,2.0,44.5,29.1,7.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,11.153537094339725
6007,«¿Œ,148575395,7200000.0,2.0,38.4,23.2,6.0,7.0,12.0,12.0,1.0,0.0,0.0,1.0,13.658751648202452
6008,«¿Œ,137537861,7200000.0,3.0,54.0,35.0,7.0,2.0,9.0,12.0,0.0,0.0,0.0,1.0,19.977944957271145
6009,«¿Œ,149771315,7200000.0,2.0,54.0,32.0,9.0,2.0,17.0,0.0,0.0,0.0,0.0,1.0,20.832323219808764
6010,«¿Œ,149417541,7200000.0,1.0,36.0,23.0,8.0,11.0,17.0,10.0,0.0,0.0,1.0,1.0,13.977251998132768
6011,«¿Œ,149715371,7200000.0,2.0,43.1,30.0,6.0,4.0,5.0,14.0,1.0,0.0,0.0,1.0,10.578547722830482
6012,«¿Œ,150475113,7200000.0,2.0,46.0,30.0,7.0,1.0,12.0,14.0,0.0,0.0,0.0,0.0,14.649605930880247
6013,«¿Œ,48950471,7241200.0,1.0,42.1,0.0,0.0,2.0,24.0,4.0,0.0,1.0,0.0,0.0,14.04506726608133
6014,«¿Œ,150966734,7249450.0,3.0,76.3,42.0,13.4,17.0,21.0,10.0,0.0,1.0,0.0,1.0,18.609400995549237
6015,«¿Œ,151071996,7250000.0,2.0,54.6,32.5,9.6,14.0,17.0,25.0,0.0,0.0,0.0,1.0,21.356734317412496
6016,«¿Œ,150886850,7250000.0,1.0,38.7,12.0,14.0,7.0,24.0,16.0,0.0,0.0,1.0,1.0,6.958054241572575
6017,«¿Œ,149447445,7250000.0,2.0,42.0,27.0,6.0,5.0,5.0,10.0,1.0,0.0,1.0,1.0,8.461841724719257
6018,«¿Œ,149750244,7254450.0,1.0,42.3,22.0,8.5,6.0,24.0,5.0,0.0,0.0,0.0,1.0,14.008846824013501
6019,«¿Œ,144928937,7258400.0,1.0,42.2,0.0,0.0,3.0,24.0,4.0,0.0,1.0,0.0,0.0,14.04506726608133
6020,«¿Œ,147642802,28990000.0,2.0,83.0,65.0,12.0,5.0,29.0,15.0,1.0,0.0,1.0,1.0,9.772377491095586
6021,«¿Œ,150345976,16300000.0,2.0,57.0,36.0,10.0,3.0,25.0,7.0,1.0,0.0,1.0,1.0,11.227762274974538
6022,«¿Œ,145869119,22500000.0,2.0,75.0,60.0,11.0,6.0,18.0,5.0,0.0,0.0,1.0,0.0,12.437789787229253
6023,«¿Œ,147002064,7268460.0,2.0,68.7,37.6,10.6,11.0,25.0,10.0,0.0,1.0,0.0,1.0,16.67182244592799
6024,«¿Œ,48950481,7275600.0,1.0,42.3,0.0,0.0,2.0,24.0,4.0,0.0,1.0,0.0,0.0,14.04506726608133
6025,«¿Œ,151105158,7276650.0,2.0,69.5,37.7,10.2,13.0,25.0,10.0,0.0,1.0,0.0,1.0,16.67182244592799
6026,«¿Œ,151106973,7279094.0,3.0,76.1,44.2,9.5,2.0,10.0,15.0,0.0,1.0,1.0,1.0,19.042175403765555
6027,«¿Œ,150507561,7279740.0,2.0,70.2,30.6,15.2,11.0,25.0,10.0,0.0,1.0,0.0,1.0,16.67182244592799
6028,«¿Œ,48950846,7284200.0,1.0,42.4,0.0,0.0,2.0,24.0,4.0,0.0,1.0,0.0,0.0,14.04506726608133
6029,«¿Œ,150828489,7290000.0,2.0,52.0,32.0,9.0,12.0,14.0,0.0,0.0,0.0,0.0,1.0,20.775788653756518
6030,«¿Œ,150638290,7300000.0,3.0,51.0,33.0,6.0,9.0,9.0,12.0,0.0,0.0,0.0,1.0,17.052543667054447
6031,«¿Œ,150465912,7300000.0,2.0,54.0,32.0,9.3,2.0,17.0,0.0,0.0,0.0,0.0,1.0,21.678383782696535
6032,«¿Œ,149531132,7300000.0,1.0,38.0,19.0,8.5,4.0,16.0,18.0,1.0,0.0,0.0,1.0,12.616246896314676
6033,«¿Œ,150495420,7300000.0,2.0,42.5,29.0,5.5,4.0,9.0,15.0,1.0,0.0,1.0,1.0,12.630854573471991
